Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
130006 Amaturá;2.0;15.0;2.0;0.0;1.0;6.0;0.0;0.0;26.0
130008 Anamã;2.0;11.0;1.0;1.0;0.0;4.0;0.0;0.0;19.0
130010 Anori;1.0;9.0;3.0;0.0;1.0;0.0;1.0;0.0;15.0
130014 Apuí;1.0;11.0;5.0;1.0;1.0;0.0;2.0;0.0;21.0
130020 Atalaia do Norte;2.0;37.0;1.0;0.0;3.0;1.0;0.0;0.0;44.0
130030 Autazes;7.0;16.0;4.0;2.0;4.0;4.0;6.0;0.0;43.0
130040 Barcelos;4.0;20.0;6.0;1.0;1.0;2.0;2.0;0.0;36.0
130050 Barreirinha;4.0;40.0;10.0;0.0;1.0;3.0;2.0;0.0;60.0
130060 Benjamin Constant;3.0;27.0;4.0;1.0;2.0;10.0;3.0;0.0;50.0
130063 Beruri;1.0;15.0;1.0;0.0;0.0;1.0;0.0;0.0;18.0
130068 Boa Vista do Ramos;2.0;11.0;2.0;0.0;1.0;0.0;1.0;0.0;17.0
130070 Boca do Acre;3.0;24.0;17.0;2.0;1.0;8.0;9.0;0.0;64.0
130080 Borba;8.0;34.0;8.0;1.0;3.0;2.0;4.0;0.0;60.0
130083 Caapiranga;2.0;8.0;2.0;0.0;1.0;0.0;2.0;0.0;15.0
130090 Canutama;2.0;4.0;2.0;2.0;1.0;0.0;1.0;0.0;12.0
130100 Carauari;3.0;10.0;6.0;0.0;2.0;0.0;3.0;0.0;24.0
130110 Careiro;3.0;35.0;8.0;1.0;1.0;1.0;2.0;0.0;51.0
130115 Careiro da Várzea;8.0;1.0;1.0;1.0;2.0;7.0;3.0;0.0;23.0
130120 Coari;19.0;48.0;15.0;3.0;9.0;1.0;5.0;1.0;101.0
130130 Codajás;2.0;5.0;4.0;1.0;1.0;0.0;2.0;0.0;15.0
130140 Eirunepé;4.0;29.0;5.0;0.0;3.0;3.0;3.0;0.0;47.0
130150 Envira;2.0;10.0;3.0;0.0;4.0;2.0;1.0;0.0;22.0
130160 Fonte Boa;5.0;12.0;2.0;1.0;3.0;1.0;3.0;0.0;27.0
130165 Guajará;4.0;5.0;3.0;1.0;1.0;1.0;1.0;1.0;17.0
130170 Humaitá;8.0;44.0;13.0;4.0;6.0;10.0;7.0;1.0;93.0
130180 Ipixuna;1.0;7.0;1.0;0.0;3.0;1.0;2.0;0.0;15.0
